class,category,perl_source,rust_source,suite,n_tuples,masked_pairs,mask_status,provenance,count_semantics
sv_nondeterministic_transcript_selection,perl_defect_fixed,ensembl-vep VEP/AnnotationSource.pm:get_all_features_by_InputBuffer,vep-cli/src/runner.rs:annotate_batch,sv_grch37,10934,10934,fully_masked,measured_23a294cf,exact
sv_nondeterministic_transcript_selection,perl_defect_fixed,ensembl-vep VEP/AnnotationSource.pm:get_all_features_by_InputBuffer,vep-cli/src/runner.rs:annotate_batch,sv_grch38,183746,183746,fully_masked,measured_23a294cf,exact
sv_cross_chromosome_transcript_annotation,perl_defect_fixed,ensembl-vep VEP/Parser/VCF.pm:create_StructuralVariationFeatures (mechanism not established),scripts/validation/compare_sv_concordance.py:filter_cross_chromosome_divergences,sv_grch37,1838,1838,fully_masked,measured_23a294cf,exact
sv_cross_chromosome_transcript_annotation,perl_defect_fixed,ensembl-vep VEP/Parser/VCF.pm:create_StructuralVariationFeatures (mechanism not established),scripts/validation/compare_sv_concordance.py:filter_cross_chromosome_divergences,sv_grch38,22481,22481,fully_masked,measured_23a294cf,exact
sv_cnv_tr_literal_expansion,representation_difference_fully_masked,ensembl-vep VEP/Parser/VCF.pm:_expand_tandem_repeat_allele_string (382-431; called from create_StructuralVariationFeatures:520),"vep-effects/src/sv/mod.rs:calculate_sv_consequences (TandemRepeat -> insertion::calculate for a gain, deletion::calculate for a loss, by INFO/RB against the reference run; allele kept symbolic; class from vep-cli/src/vcf_parser.rs:classify_symbolic_alt, alternate length from vcf_parser.rs:tandem_repeat_alt_bases)",sv_synth_grch37,1368,1368,fully_masked,measured_23a294cf,exact
sv_cnv_tr_literal_expansion,representation_difference_fully_masked,ensembl-vep VEP/Parser/VCF.pm:_expand_tandem_repeat_allele_string (382-431; called from create_StructuralVariationFeatures:520),"vep-effects/src/sv/mod.rs:calculate_sv_consequences (TandemRepeat -> insertion::calculate for a gain, deletion::calculate for a loss, by INFO/RB against the reference run; allele kept symbolic; class from vep-cli/src/vcf_parser.rs:classify_symbolic_alt, alternate length from vcf_parser.rs:tandem_repeat_alt_bases)",sv_synth_grch38,2644,2644,fully_masked,measured_23a294cf,exact
splice_family_swap,perl_defect_partially_masked,BaseTranscriptVariationAllele.pm:_intron_effects:215 (splice_region overwrite; the other 13 writes are set-once),vep-effects/src/consequences.rs,clinvar_grch37,440,440,partially_masked,measured_23a294cf,exact
splice_family_swap,perl_defect_partially_masked,BaseTranscriptVariationAllele.pm:_intron_effects:215 (splice_region overwrite; the other 13 writes are set-once),vep-effects/src/consequences.rs,clinvar_grch38,1444,1444,partially_masked,measured_23a294cf,exact
splice_family_swap,perl_defect_partially_masked,BaseTranscriptVariationAllele.pm:_intron_effects:215 (splice_region overwrite; the other 13 writes are set-once),vep-effects/src/consequences.rs,gnomad_grch37,4,0,not_masked,measured_23a294cf,exact
start_cooccurrence_swap,perl_defect_fixed,VariationEffect.pm:start_lost+start_retained_variant+_ins_del_start_altered,"vep-effects/src/coding.rs:perl_coding_terms (start co-emission gate, sequence variants); vep-effects/src/sv/deletion.rs (structural alleles)",clinvar_grch37,261,261,fully_masked,measured_23a294cf,exact
start_cooccurrence_swap,perl_defect_fixed,VariationEffect.pm:start_lost+start_retained_variant+_ins_del_start_altered,"vep-effects/src/coding.rs:perl_coding_terms (start co-emission gate, sequence variants); vep-effects/src/sv/deletion.rs (structural alleles)",clinvar_grch38,928,928,fully_masked,measured_23a294cf,exact
start_cooccurrence_swap,perl_defect_fixed,VariationEffect.pm:start_lost+start_retained_variant+_ins_del_start_altered,"vep-effects/src/coding.rs:perl_coding_terms (start co-emission gate, sequence variants); vep-effects/src/sv/deletion.rs (structural alleles)",gnomad_grch37,3,3,fully_masked,measured_23a294cf,exact
start_cooccurrence_swap,perl_defect_fixed,VariationEffect.pm:start_lost+start_retained_variant+_ins_del_start_altered,"vep-effects/src/coding.rs:perl_coding_terms (start co-emission gate, sequence variants); vep-effects/src/sv/deletion.rs (structural alleles)",gnomad_grch38,77,77,fully_masked,measured_23a294cf,exact
start_cooccurrence_swap,perl_defect_fixed,VariationEffect.pm:start_lost+start_retained_variant+_ins_del_start_altered,"vep-effects/src/coding.rs:perl_coding_terms (start co-emission gate, sequence variants); vep-effects/src/sv/deletion.rs (structural alleles)",1kg_grch38,1,1,fully_masked,measured_23a294cf,exact
