engine,sweep_id,binary_md5,term,vep_tuples,vep_only,engine_only,intersection,engine_tuples,precision,recall,f1,vep_only_excluded,engine_only_excluded,adj_f1
vep-rs,sweep-20260920T012411Z,23a294cf,intron_variant,128705338,752,751,128704586,128705337,0.999994,0.999994,0.999994,751,751,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,non_coding_transcript_variant,70902816,90,90,70902726,70902816,0.999999,0.999999,0.999999,90,90,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,missense_variant,35783494,69,69,35783425,35783494,0.999998,0.999998,0.999998,69,69,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,downstream_gene_variant,30146836,0,0,30146836,30146836,1.000000,1.000000,1.000000,0,0,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,upstream_gene_variant,25250015,0,0,25250015,25250015,1.000000,1.000000,1.000000,0,0,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,synonymous_variant,12157381,0,10,12157381,12157391,0.999999,1.000000,1.000000,0,0,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,NMD_transcript_variant,12126342,503,503,12125839,12126342,0.999959,0.999959,0.999959,499,499,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,non_coding_transcript_exon_variant,10061610,137,137,10061473,10061610,0.999986,0.999986,0.999986,137,137,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,3_prime_UTR_variant,5629571,96,95,5629475,5629570,0.999983,0.999983,0.999983,95,95,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,splice_region_variant,5257276,8,1892,5257268,5259160,0.999640,0.999998,0.999819,8,1892,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,intergenic_variant,4927601,0,0,4927601,4927601,1.000000,1.000000,1.000000,0,0,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,splice_polypyrimidine_tract_variant,4916495,368,368,4916127,4916495,0.999925,0.999925,0.999925,368,368,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,frameshift_variant,2603915,1281,1281,2602634,2603915,0.999508,0.999508,0.999508,1280,1280,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,stop_gained,1494776,192,192,1494584,1494776,0.999872,0.999872,0.999872,192,192,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,splice_donor_variant,1251188,1,0,1251187,1251187,1.000000,0.999999,1.000000,0,0,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,5_prime_UTR_variant,1161850,400,399,1161450,1161849,0.999657,0.999656,0.999656,399,399,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,splice_acceptor_variant,1074252,1,0,1074251,1074251,1.000000,0.999999,1.000000,0,0,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,splice_donor_region_variant,759812,0,0,759812,759812,1.000000,1.000000,1.000000,0,0,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,splice_donor_5th_base_variant,458373,1,4,458372,458376,0.999991,0.999998,0.999995,0,0,0.999995
vep-rs,sweep-20260920T012411Z,23a294cf,inframe_deletion,389223,218,218,389005,389223,0.999440,0.999440,0.999440,215,215,0.999992
vep-rs,sweep-20260920T012411Z,23a294cf,inframe_insertion,155083,0,0,155083,155083,1.000000,1.000000,1.000000,0,0,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,coding_sequence_variant,138690,40,40,138650,138690,0.999712,0.999712,0.999712,40,40,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,start_lost,80277,1280,9,78997,79006,0.999886,0.984055,0.991907,1270,1,0.999886
vep-rs,sweep-20260920T012411Z,23a294cf,stop_lost,28706,0,0,28706,28706,1.000000,1.000000,1.000000,0,0,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,protein_altering_variant,20718,173,173,20545,20718,0.991650,0.991650,0.991650,173,173,1.000000
vep-rs,sweep-20260920T012411Z,23a294cf,stop_retained_variant,20310,0,0,20310,20310,1.000000,1.000000,1.000000,0,0,1.000000
