dataset,assembly,engine,sweep_id,binary_md5,term,vep_tuples,vep_only,engine_only,intersection,engine_tuples,precision,recall,f1
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,missense_variant,8141358,16,16,8141342,8141358,0.999998,0.999998,0.999998
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,downstream_gene_variant,6566082,0,0,6566082,6566082,1.000000,1.000000,1.000000
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,intron_variant,5983178,170,170,5983008,5983178,0.999972,0.999972,0.999972
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,upstream_gene_variant,4422040,0,0,4422040,4422040,1.000000,1.000000,1.000000
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,non_coding_transcript_exon_variant,2779340,45,45,2779295,2779340,0.999984,0.999984,0.999984
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,synonymous_variant,2647166,0,1,2647166,2647167,1.000000,1.000000,1.000000
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,NMD_transcript_variant,2034991,89,89,2034902,2034991,0.999956,0.999956,0.999956
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,non_coding_transcript_variant,1725329,26,26,1725303,1725329,0.999985,0.999985,0.999985
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,splice_region_variant,1166485,3,443,1166482,1166925,0.999620,0.999997,0.999809
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,3_prime_UTR_variant,1103218,25,25,1103193,1103218,0.999977,0.999977,0.999977
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,splice_polypyrimidine_tract_variant,1057156,98,98,1057058,1057156,0.999907,0.999907,0.999907
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,frameshift_variant,577324,274,274,577050,577324,0.999525,0.999525,0.999525
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,stop_gained,336287,30,30,336257,336287,0.999911,0.999911,0.999911
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,5_prime_UTR_variant,314943,84,84,314859,314943,0.999733,0.999733,0.999733
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,splice_donor_variant,282585,0,0,282585,282585,1.000000,1.000000,1.000000
