sweep_id,clone,suite,assembly,term,fastvep_tuples_with_term,same_set_shifted_key,different_set_same_key,different_set_same_span,no_vep_tuple,vep_only_tuples_with_term,notes
sweep-20260918T224520Z,clone-arm64-01,s01,GRCh37,transcript_ablation,0,0,0,0,0,544,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s01,GRCh37,coding_transcript_variant,408,0,381,20,7,0,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s02,GRCh38,transcript_ablation,0,0,0,0,0,689,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s02,GRCh38,coding_transcript_variant,1084,0,1013,49,22,1,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s03,GRCh37,coding_transcript_variant,36,0,35,1,0,0,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s04,GRCh38,coding_transcript_variant,422,0,413,4,5,0,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s05,GRCh37,transcript_ablation,40,40,0,0,0,75,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s05,GRCh37,transcript_amplification,114,112,0,0,2,210,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s05,GRCh37,feature_truncation,600,0,0,592,8,208,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s05,GRCh37,feature_elongation,174,0,0,174,0,36,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s05,GRCh37,coding_transcript_variant,5,0,5,0,0,5,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s06,GRCh38,transcript_ablation,38,38,0,0,0,38,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s06,GRCh38,transcript_amplification,294,294,0,0,0,295,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s06,GRCh38,feature_truncation,5636,0,0,5577,59,459,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s06,GRCh38,feature_elongation,1774,0,0,1746,28,172,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,s06,GRCh38,coding_transcript_variant,24,0,15,0,9,6,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones
sweep-20260918T224520Z,clone-arm64-01,pooled,both,transcript_ablation,78,78,0,0,0,1346,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones;pooled_over_the_six_snp_and_indel_suites
sweep-20260918T224520Z,clone-arm64-01,pooled,both,transcript_amplification,408,406,0,0,2,505,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones;pooled_over_the_six_snp_and_indel_suites
sweep-20260918T224520Z,clone-arm64-01,pooled,both,feature_truncation,6236,0,0,6169,67,667,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones;pooled_over_the_six_snp_and_indel_suites
sweep-20260918T224520Z,clone-arm64-01,pooled,both,feature_elongation,1948,0,0,1920,28,208,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones;pooled_over_the_six_snp_and_indel_suites
sweep-20260918T224520Z,clone-arm64-01,pooled,both,coding_transcript_variant,1979,0,1862,74,43,12,source=report/discordant.tsv;feature_versions_stripped;span_tolerance_bp=1;single_clone_reports_are_identical_across_clones;pooled_over_the_six_snp_and_indel_suites
