transcript_id	classes	other_keys	json_cache_peptide_matches
ENST00000219542	peptide+predictions+protein_features		113
ENST00000242257	protein_features		both
ENST00000247933	protein_features		both
ENST00000252773	peptide+predictions+protein_features		113
ENST00000252804	protein_features		both
ENST00000254719	protein_features		both
ENST00000255622	protein_features		both
ENST00000258821	protein_features		both
ENST00000261868	protein_features		both
ENST00000262316	protein_features		both
ENST00000262651	peptide+predictions		113
ENST00000263071	protein_features		both
ENST00000264335	protein_features		both
ENST00000264498	peptide+predictions		113
ENST00000264932	protein_features		both
ENST00000264954	protein_features		both
ENST00000269812	protein_features		both
ENST00000270458	peptide+predictions		113
ENST00000274137	protein_features		both
ENST00000277945	peptide+predictions+protein_features		113
ENST00000283426	protein_features		both
ENST00000289448	peptide+predictions		113
ENST00000293860	protein_features		both
ENST00000296333	peptide+predictions		113
ENST00000296824	protein_features		both
ENST00000302538	protein_features		both
ENST00000309812	protein_features		both
ENST00000313766	protein_features		both
ENST00000315212	protein_features		both
ENST00000316851	peptide+predictions+protein_features		113
ENST00000320901	protein_features		both
ENST00000323274	protein_features		both
ENST00000324450	peptide+predictions		113
ENST00000326592	protein_features		both
ENST00000327669	protein_features		both
ENST00000329610	peptide+predictions		113
ENST00000332351	peptide+predictions		113
ENST00000332663	protein_features		both
ENST00000333039	peptide+predictions		113
ENST00000333617	peptide+predictions+protein_features		113
ENST00000335137	protein_features		both
ENST00000338912	protein_features		both
ENST00000341928	protein_features		both
ENST00000343572	protein_features		both
ENST00000354700	protein_features		both
ENST00000356865	protein_features		both
ENST00000356948	protein_features		both
ENST00000357517	peptide+predictions+protein_features		113
ENST00000358409	peptide+predictions+protein_features		113
ENST00000359674	protein_features		both
ENST00000359864	peptide+predictions		113
ENST00000360064	peptide+predictions+protein_features		113
ENST00000360124	peptide+predictions+protein_features		113
ENST00000360803	protein_features		both
ENST00000361505	protein_features		both
ENST00000361661	protein_features		both
ENST00000372055	peptide+predictions		113
ENST00000372064	peptide+predictions		113
ENST00000372067	peptide+predictions		113
ENST00000375852	peptide+predictions		113
ENST00000375862	peptide+predictions		113
ENST00000377055	peptide+predictions+protein_features		113
ENST00000377970	peptide+predictions		113
ENST00000378179	peptide+predictions+protein_features		113
ENST00000378705	peptide+predictions+protein_features		113
ENST00000379077	peptide+predictions+protein_features		113
ENST00000379116	protein_features		both
ENST00000380717	peptide+predictions+protein_features		113
ENST00000381125	protein_features		both
ENST00000381140	peptide+predictions		113
ENST00000381584	protein_features		both
ENST00000381809	protein_features		both
ENST00000382500	protein_features		both
ENST00000382678	peptide+predictions+protein_features		113
ENST00000389574	protein_features		both
ENST00000390414	peptide		113
ENST00000392391	peptide+predictions		113
ENST00000392905	peptide+predictions+protein_features		113
ENST00000393716	peptide+predictions		113
ENST00000396821	peptide+predictions		113
ENST00000397085	peptide+predictions+protein_features		113
ENST00000397195	protein_features		both
ENST00000397891	peptide+predictions+protein_features		113
ENST00000398067	peptide+predictions+protein_features		113
ENST00000398731	peptide+predictions+protein_features		113
ENST00000401010	peptide+predictions+protein_features		113
ENST00000402802	protein_features		both
ENST00000403230	peptide+predictions		113
ENST00000403712	protein_features		both
ENST00000405379	peptide+predictions+protein_features		113
ENST00000406797	protein_features		both
ENST00000409264	peptide+predictions+protein_features		113
ENST00000411577	peptide+predictions+protein_features		113
ENST00000411884	peptide+predictions+protein_features		113
ENST00000413592	peptide+predictions+protein_features		113
ENST00000413642	peptide+predictions		113
ENST00000413787	peptide+predictions+protein_features		113
ENST00000414635	peptide+predictions+protein_features		113
ENST00000415196	peptide+predictions+protein_features		113
ENST00000415360	peptide+predictions+protein_features		113
ENST00000416152	peptide+predictions+protein_features		113
ENST00000417040	peptide+predictions+protein_features		113
ENST00000417285	peptide+predictions		113
ENST00000417461	peptide+predictions+protein_features		113
ENST00000417637	peptide+predictions+protein_features		113
ENST00000418127	peptide+predictions+protein_features		113
ENST00000418713	peptide+predictions+protein_features		113
ENST00000418976	peptide+predictions		113
ENST00000419098	protein_features		both
ENST00000419181	peptide+predictions+protein_features		113
ENST00000419867	peptide+predictions		113
ENST00000419958	peptide+predictions+protein_features		113
ENST00000422900	peptide+predictions+protein_features		113
ENST00000423049	peptide+predictions+protein_features		113
ENST00000423811	peptide+predictions+protein_features		113
ENST00000424924	peptide+predictions+protein_features		113
ENST00000424947	peptide+predictions+protein_features		113
ENST00000425018	peptide+predictions+protein_features		113
ENST00000425696	peptide+predictions+protein_features		113
ENST00000425836	peptide+predictions		113
ENST00000426712	peptide+predictions+protein_features		113
ENST00000426850	peptide+predictions+protein_features		113
ENST00000427390	protein_features		both
ENST00000429068	peptide+predictions+protein_features		113
ENST00000431933	peptide+predictions+protein_features		113
ENST00000432352	peptide+predictions+protein_features		113
ENST00000433448	peptide+predictions+protein_features		113
ENST00000433539	peptide+predictions+protein_features		113
ENST00000434029	peptide+predictions+protein_features		113
ENST00000434088	peptide+predictions+protein_features		113
ENST00000434561	peptide+predictions+protein_features		113
ENST00000435781	peptide+predictions+protein_features		113
ENST00000436103	peptide+predictions+protein_features		113
ENST00000436333	protein_features		both
ENST00000436973	peptide+predictions+protein_features		113
ENST00000437048	protein_features		both
ENST00000438571	peptide+predictions+protein_features		113
ENST00000439468	peptide+predictions+protein_features		113
ENST00000440282	peptide+predictions+protein_features		113
ENST00000443915	peptide+predictions+protein_features		113
ENST00000443986	peptide+predictions		113
ENST00000444578	peptide+predictions+protein_features		113
ENST00000444689	peptide+predictions+protein_features		113
ENST00000445054	peptide+predictions+protein_features		113
ENST00000445580	peptide+predictions+protein_features		113
ENST00000446581	peptide+predictions+protein_features		113
ENST00000447516	peptide+predictions+protein_features		113
ENST00000447610	peptide+predictions+protein_features		113
ENST00000447658	peptide+predictions+protein_features		113
ENST00000447801	peptide+predictions+protein_features		113
ENST00000447871	protein_features		both
ENST00000448076	peptide+predictions		113
ENST00000449524	peptide+predictions+protein_features		113
ENST00000450498	peptide+predictions+protein_features		113
ENST00000452863	peptide+predictions		113
ENST00000453981	protein_features		both
ENST00000455566	peptide+predictions+protein_features		113
ENST00000456420	peptide+predictions+protein_features		113
ENST00000456923	peptide+predictions+protein_features		113
ENST00000457731	peptide+predictions+protein_features		113
ENST00000458073	peptide+predictions+protein_features		113
ENST00000463142	peptide+predictions+protein_features		113
ENST00000465372	peptide+predictions+protein_features		113
ENST00000465503	peptide+predictions		113
ENST00000466380	peptide+predictions		113
ENST00000467011	peptide+predictions		113
ENST00000467087	peptide+predictions		113
ENST00000468002	peptide+predictions+protein_features		113
ENST00000471368	peptide+predictions+protein_features		113
ENST00000472232	peptide+predictions		113
ENST00000473435	peptide+predictions+protein_features		113
ENST00000473890	peptide+predictions+protein_features		113
ENST00000479826	peptide+predictions+protein_features		113
ENST00000481110	protein_features		both
ENST00000482155	peptide+predictions+protein_features		113
ENST00000482630	peptide+predictions		113
ENST00000483196	peptide+predictions+protein_features		113
ENST00000486475	peptide+predictions		113
ENST00000493135	peptide+predictions+protein_features		113
ENST00000496246	peptide+predictions+protein_features		113
ENST00000498469	peptide+predictions+protein_features		113
ENST00000502168	peptide+predictions+protein_features		113
