date,engine,engine_version,suite,assembly,instance_type,run_index,wall_time_sec,peak_rss_mb,pct_cpu,major_page_faults,minor_page_faults,cache_state,notes
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,1,43.730,2043.9,328,1440,209402,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=1
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,2,44.420,2039.2,326,1478,204363,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=2
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,3,44.190,2041.4,326,1267,206092,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=3
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,4,43.010,2044.2,330,1316,206703,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=4
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,5,43.900,2049.1,327,1248,205495,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=5
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,6,43.260,2043.4,328,1421,206491,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=6
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,7,43.020,2042.8,330,1304,206002,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=7
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,8,44.230,2043.7,326,1480,205040,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=8
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,9,43.950,2045.6,327,1331,204570,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=9
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,10,43.430,2046.1,329,1246,206244,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=10
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,11,43.630,2043.8,329,1352,206868,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=11
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,12,43.830,2038.4,329,1434,204074,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=12
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,13,44.380,2048.5,328,1365,208868,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=13
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,14,44.200,2054.2,328,1405,202994,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=14
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,15,43.560,2040.8,327,1420,206918,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=15
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,16,42.870,2048.2,330,1308,209546,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=16
2026-09-18,fastvep,0.3.0,clinvar_grch37,GRCh37,r8gd.8xlarge,17,43.420,2046.7,330,1512,207395,warm,methodology=cross_instance_parallel_clone;sweep_id=sweep-20260918T224520Z;arch=arm64;condition=sites_only;local_nvme=true;n_timed=20;suite_id=s01;clone_run_index=17
