transcript_id	contig	start	end
ENST00000219542	16	765338	767390
ENST00000242257	7	2273926	2281833
ENST00000247933	4	980785	998294
ENST00000252773	19	17712138	17786978
ENST00000252804	2	1635659	1748278
ENST00000254719	17	1733278	1802848
ENST00000255622	4	619373	664571
ENST00000258821	14	20754387	20774153
ENST00000261868	15	44829255	44855001
ENST00000262316	16	108058	122629
ENST00000262651	20	30640045	30689652
ENST00000263071	17	1537152	1549041
ENST00000264335	17	1247566	1303672
ENST00000264498	4	123747863	123819391
ENST00000264932	5	218356	256815
ENST00000264954	4	7060633	7069924
ENST00000269812	19	281040	291386
ENST00000270458	19	54466294	54493469
ENST00000274137	5	1801514	1816719
ENST00000277945	10	114905831	114925391
ENST00000283426	5	140373	190085
ENST00000289448	5	143191726	143200284
ENST00000293860	16	96407	103628
ENST00000296333	3	196439282	196460773
ENST00000296824	5	196986	218330
ENST00000302538	17	906758	1083168
ENST00000309812	10	92832	95241
ENST00000313766	7	192969	300711
ENST00000315212	2	3592705	3606206
ENST00000316851	11	113073079	113149133
ENST00000320901	8	116049	117043
ENST00000323274	18	657604	673578
ENST00000324450	6	43738444	43752299
ENST00000326592	16	64043	69448
ENST00000327669	2	38814	46385
ENST00000329610	16	2069521	2070755
ENST00000332351	11	32409321	32457176
ENST00000332663	15	22368478	22369561
ENST00000333039	22	39214457	39239987
ENST00000333617	3	115528641	116163830
ENST00000335137	1	69091	70008
ENST00000338912	15	20169919	20170354
ENST00000341928	18	5392383	5544241
ENST00000343572	17	5810	31427
ENST00000354700	1	1227756	1243398
ENST00000356865	15	25922420	26108355
ENST00000356948	19	797075	812320
ENST00000357517	5	141242622	141249154
ENST00000358409	12	3068496	3149831
ENST00000359674	12	299243	322863
ENST00000359864	12	3068580	3149839
ENST00000360064	1	237430900	237996058
ENST00000360124	22	42522501	42525911
ENST00000360803	10	1034338	1065876
ENST00000361505	14	20937538	20945253
ENST00000361661	4	981445	987224
ENST00000372055	6	43738444	43752346
ENST00000372064	6	43738444	43754224
ENST00000372067	6	43737950	43754224
ENST00000375852	20	30640064	30689659
ENST00000375862	20	30640000	30689322
ENST00000377055	9	74314108	74324246
ENST00000377970	8	128748330	128753674
ENST00000378179	X	41378780	41449204
ENST00000378705	X	31187703	31224717
ENST00000379077	11	32409321	32456933
ENST00000379116	1	1215816	1227399
ENST00000380717	X	11161517	11308598
ENST00000381125	10	3109712	3178985
ENST00000381140	13	27998681	28009825
ENST00000381584	10	225934	299196
ENST00000381809	9	4711155	4741318
ENST00000382500	9	116237	118417
ENST00000382678	12	2958397	2966213
ENST00000389574	7	856252	914539
ENST00000390414	7	142494381	142494426
ENST00000392391	3	196439229	196462878
ENST00000392905	12	102796295	102874102
ENST00000393716	3	119499331	119537332
ENST00000396821	22	38879445	38902342
ENST00000397085	2	173891354	173901523
ENST00000397195	17	2497040	2588909
ENST00000397891	3	150588832	150612089
ENST00000398067	11	107650219	107652316
ENST00000398731	12	19653063	19706173
ENST00000401010	1	146032648	146040968
ENST00000402802	7	536895	559046
ENST00000403230	22	38881883	38902317
ENST00000403712	2	218136	264032
ENST00000405379	2	10085341	10142411
ENST00000406797	7	588835	752844
ENST00000409264	2	201735936	201753738
ENST00000411577	20	34129865	34131658
ENST00000411884	2	55402997	55436788
ENST00000413592	2	71336814	71351581
ENST00000413642	6	43738444	43752326
ENST00000413787	X	152958509	152960031
ENST00000414635	1	241846882	241964765
ENST00000415196	2	24406411	24423718
ENST00000415360	Y	21869068	21870835
ENST00000416152	3	195590235	195599253
ENST00000417040	1	19447707	19494549
ENST00000417285	6	43738444	43752299
ENST00000417461	2	15307038	15378810
ENST00000417637	X	103294850	103297021
ENST00000418127	20	55904990	55914082
ENST00000418713	3	9881625	9885686
ENST00000418976	9	131038523	131051268
ENST00000419098	4	264464	299110
ENST00000419181	13	27998799	28009825
ENST00000419867	9	131038521	131048813
ENST00000419958	1	28218049	28223596
ENST00000422900	8	91637319	91657740
ENST00000423049	11	64390225	64410158
ENST00000423811	10	99498301	99520652
ENST00000424924	11	70315540	70348964
ENST00000424947	6	76343420	76389583
ENST00000425018	22	50656123	50658845
ENST00000425696	X	16857406	16870188
ENST00000425836	6	43738444	43752686
ENST00000426712	7	99688051	99689530
ENST00000426850	3	10312604	10320849
ENST00000427390	15	20737094	20747114
ENST00000429068	22	37478890	37480865
ENST00000431933	1	26769327	26797785
ENST00000432352	3	194308407	194337884
ENST00000433448	5	169435501	169461512
ENST00000433539	6	149900059	149903419
ENST00000434029	10	28245978	28276378
ENST00000434088	1	179338036	179523870
ENST00000434561	15	43705467	43712572
ENST00000435781	13	27998775	28008306
ENST00000436103	22	24376133	24379492
ENST00000436333	16	127006	135683
ENST00000436973	16	11217752	11251090
ENST00000437048	17	411908	618096
ENST00000438571	13	27998813	28006882
ENST00000439468	7	38780884	38785162
ENST00000440282	10	13483088	13523073
ENST00000443915	6	73713719	73751910
ENST00000443986	12	3069110	3129925
ENST00000444578	X	153579949	153581537
ENST00000444689	3	49750960	49753322
ENST00000445054	7	51083909	51261132
ENST00000445580	10	134579328	134595909
ENST00000446581	7	44178463	44180000
ENST00000447516	7	70765317	70880917
ENST00000447610	11	107643129	107647344
ENST00000447658	20	42893094	42908573
ENST00000447801	1	235294982	235324535
ENST00000447871	16	330450	332688
ENST00000448076	11	32410225	32457081
ENST00000449524	1	201965300	201970850
ENST00000450498	1	79093670	79095872
ENST00000452863	11	32409330	32456891
ENST00000453981	9	214865	465255
ENST00000455566	10	133747955	133773331
ENST00000456420	16	684513	686239
ENST00000456923	2	216225870	216257870
ENST00000457731	20	31547651	31549006
ENST00000458073	22	39122311	39134304
ENST00000463142	7	140154264	140155711
ENST00000465372	1	23756025	23760025
ENST00000465503	4	26862463	27025588
ENST00000466380	3	119499331	119537332
ENST00000467011	4	26862416	27025809
ENST00000467087	4	26862313	27027003
ENST00000468002	1	2445872	2450734
ENST00000471368	1	209950784	209955665
ENST00000472232	9	33252477	33264759
ENST00000473435	3	138400826	138431095
ENST00000473890	10	5196335	5202135
ENST00000479826	3	124829116	124909294
ENST00000481110	4	1795034	1810592
ENST00000482155	3	52870235	52874623
ENST00000482630	6	43738444	43752395
ENST00000483196	7	1510769	1512786
ENST00000486475	20	30640045	30689463
ENST00000493135	9	140331014	140332698
ENST00000496246	3	9854991	9862331
ENST00000498469	7	140034670	140045711
ENST00000502168	13	20397993	20426290
ENST00000504061	X	154289897	154293794
