transcript_id	contig	feature_type	biotype
ENST00000452647	6	processed_transcript	processed_transcript
ENST00000453421	22	unconfirmed_transcript	TEC
ENST00000456687	1	unconfirmed_transcript	TEC
ENST00000507535	8	unconfirmed_transcript	TEC
ENST00000514988	7	unconfirmed_transcript	TEC
ENST00000551683	12	unconfirmed_transcript	TEC
ENST00000557832	15	unconfirmed_transcript	TEC
ENST00000587960	17	unconfirmed_transcript	TEC
ENST00000596296	19	unconfirmed_transcript	TEC
ENST00000607332	6	processed_transcript	processed_transcript
ENST00000613068	7	unconfirmed_transcript	TEC
ENST00000622912	11	unconfirmed_transcript	TEC
ENST00000622913	17	unconfirmed_transcript	TEC
ENST00000622917	12	unconfirmed_transcript	TEC
ENST00000622919	5	unconfirmed_transcript	TEC
ENST00000622926	8	unconfirmed_transcript	TEC
ENST00000622927	17	unconfirmed_transcript	TEC
ENST00000622931	17	unconfirmed_transcript	TEC
ENST00000622932	3	unconfirmed_transcript	TEC
ENST00000622935	17	unconfirmed_transcript	TEC
ENST00000622936	17	unconfirmed_transcript	TEC
ENST00000622938	18	unconfirmed_transcript	TEC
ENST00000622941	15	unconfirmed_transcript	TEC
ENST00000622942	8	unconfirmed_transcript	TEC
ENST00000622945	1	unconfirmed_transcript	TEC
ENST00000622948	16	unconfirmed_transcript	TEC
ENST00000622952	5	unconfirmed_transcript	TEC
ENST00000622954	16	unconfirmed_transcript	TEC
ENST00000622957	11	unconfirmed_transcript	TEC
ENST00000622958	1	unconfirmed_transcript	TEC
ENST00000622962	19	unconfirmed_transcript	TEC
ENST00000622964	11	unconfirmed_transcript	TEC
ENST00000622965	12	unconfirmed_transcript	TEC
ENST00000622967	12	unconfirmed_transcript	TEC
ENST00000622968	19	unconfirmed_transcript	TEC
ENST00000622975	2	unconfirmed_transcript	TEC
ENST00000622976	12	unconfirmed_transcript	TEC
ENST00000622977	16	unconfirmed_transcript	TEC
ENST00000622979	2	unconfirmed_transcript	TEC
ENST00000622980	10	unconfirmed_transcript	TEC
ENST00000622982	12	unconfirmed_transcript	TEC
ENST00000622987	18	unconfirmed_transcript	TEC
ENST00000622988	1	unconfirmed_transcript	TEC
ENST00000622989	16	unconfirmed_transcript	TEC
ENST00000622992	17	unconfirmed_transcript	TEC
ENST00000622993	7	unconfirmed_transcript	TEC
ENST00000622994	19	unconfirmed_transcript	TEC
ENST00000622996	17	unconfirmed_transcript	TEC
ENST00000622998	12	unconfirmed_transcript	TEC
ENST00000623002	7	unconfirmed_transcript	TEC
ENST00000623003	5	unconfirmed_transcript	TEC
ENST00000623005	14	unconfirmed_transcript	TEC
ENST00000623006	5	unconfirmed_transcript	TEC
ENST00000623008	11	unconfirmed_transcript	TEC
ENST00000623010	18	unconfirmed_transcript	TEC
ENST00000623012	4	unconfirmed_transcript	TEC
ENST00000623014	5	unconfirmed_transcript	TEC
ENST00000623016	7	unconfirmed_transcript	TEC
ENST00000623017	12	unconfirmed_transcript	TEC
ENST00000623018	11	unconfirmed_transcript	TEC
ENST00000623020	19	unconfirmed_transcript	TEC
ENST00000623022	19	unconfirmed_transcript	TEC
ENST00000623023	19	unconfirmed_transcript	TEC
ENST00000623026	8	unconfirmed_transcript	TEC
ENST00000623029	7	unconfirmed_transcript	TEC
ENST00000623032	7	unconfirmed_transcript	TEC
ENST00000623035	19	unconfirmed_transcript	TEC
ENST00000623041	16	unconfirmed_transcript	TEC
ENST00000623046	8	unconfirmed_transcript	TEC
ENST00000623048	2	unconfirmed_transcript	TEC
ENST00000623049	13	unconfirmed_transcript	TEC
ENST00000623053	15	unconfirmed_transcript	TEC
ENST00000623054	17	unconfirmed_transcript	TEC
ENST00000623057	16	unconfirmed_transcript	TEC
ENST00000623060	16	unconfirmed_transcript	TEC
ENST00000623062	12	unconfirmed_transcript	TEC
ENST00000623064	19	unconfirmed_transcript	TEC
ENST00000623069	4	unconfirmed_transcript	TEC
ENST00000623071	18	unconfirmed_transcript	TEC
ENST00000623072	19	unconfirmed_transcript	TEC
ENST00000623074	16	unconfirmed_transcript	TEC
ENST00000623077	16	unconfirmed_transcript	TEC
ENST00000623079	9	unconfirmed_transcript	TEC
ENST00000623080	14	unconfirmed_transcript	TEC
ENST00000623082	8	unconfirmed_transcript	TEC
ENST00000623084	19	unconfirmed_transcript	TEC
ENST00000623088	4	unconfirmed_transcript	TEC
ENST00000623089	6	unconfirmed_transcript	TEC
ENST00000623090	4	unconfirmed_transcript	TEC
ENST00000623092	7	unconfirmed_transcript	TEC
ENST00000623093	18	unconfirmed_transcript	TEC
ENST00000623099	4	unconfirmed_transcript	TEC
ENST00000623105	17	unconfirmed_transcript	TEC
ENST00000623107	11	unconfirmed_transcript	TEC
ENST00000623114	X	unconfirmed_transcript	TEC
ENST00000623116	2	unconfirmed_transcript	TEC
ENST00000623118	16	unconfirmed_transcript	TEC
ENST00000623121	16	unconfirmed_transcript	TEC
ENST00000623124	7	unconfirmed_transcript	TEC
ENST00000623125	4	unconfirmed_transcript	TEC
ENST00000623126	17	unconfirmed_transcript	TEC
ENST00000623128	19	unconfirmed_transcript	TEC
ENST00000623134	10	unconfirmed_transcript	TEC
ENST00000623138	10	unconfirmed_transcript	TEC
ENST00000623140	16	unconfirmed_transcript	TEC
ENST00000623143	5	unconfirmed_transcript	TEC
ENST00000623145	18	unconfirmed_transcript	TEC
ENST00000623147	16	unconfirmed_transcript	TEC
ENST00000623150	7	unconfirmed_transcript	TEC
ENST00000623151	14	unconfirmed_transcript	TEC
ENST00000623153	12	unconfirmed_transcript	TEC
ENST00000623154	19	unconfirmed_transcript	TEC
ENST00000623155	16	unconfirmed_transcript	TEC
ENST00000623156	17	unconfirmed_transcript	TEC
ENST00000623159	14	unconfirmed_transcript	TEC
ENST00000623164	6	unconfirmed_transcript	TEC
ENST00000623166	19	unconfirmed_transcript	TEC
ENST00000623168	16	unconfirmed_transcript	TEC
ENST00000623171	12	unconfirmed_transcript	TEC
ENST00000623172	15	unconfirmed_transcript	TEC
ENST00000623173	3	unconfirmed_transcript	TEC
ENST00000623176	13	unconfirmed_transcript	TEC
ENST00000623177	12	unconfirmed_transcript	TEC
ENST00000623178	7	unconfirmed_transcript	TEC
ENST00000623179	19	unconfirmed_transcript	TEC
ENST00000623181	16	unconfirmed_transcript	TEC
ENST00000623186	8	unconfirmed_transcript	TEC
ENST00000623187	14	unconfirmed_transcript	TEC
ENST00000623191	12	unconfirmed_transcript	TEC
ENST00000623192	11	unconfirmed_transcript	TEC
ENST00000623193	8	unconfirmed_transcript	TEC
ENST00000623195	14	unconfirmed_transcript	TEC
ENST00000623200	17	unconfirmed_transcript	TEC
ENST00000623202	18	unconfirmed_transcript	TEC
ENST00000623204	5	unconfirmed_transcript	TEC
ENST00000623206	16	unconfirmed_transcript	TEC
ENST00000623208	8	unconfirmed_transcript	TEC
ENST00000623209	13	unconfirmed_transcript	TEC
ENST00000623210	12	unconfirmed_transcript	TEC
ENST00000623211	15	unconfirmed_transcript	TEC
ENST00000623212	15	unconfirmed_transcript	TEC
ENST00000623214	19	unconfirmed_transcript	TEC
ENST00000623218	2	unconfirmed_transcript	TEC
ENST00000623220	5	unconfirmed_transcript	TEC
ENST00000623221	17	unconfirmed_transcript	TEC
ENST00000623222	6	unconfirmed_transcript	TEC
ENST00000623223	5	unconfirmed_transcript	TEC
ENST00000623226	1	unconfirmed_transcript	TEC
ENST00000623228	17	unconfirmed_transcript	TEC
ENST00000623229	12	unconfirmed_transcript	TEC
ENST00000623230	10	unconfirmed_transcript	TEC
ENST00000623232	11	unconfirmed_transcript	TEC
ENST00000623234	11	unconfirmed_transcript	TEC
ENST00000623235	16	unconfirmed_transcript	TEC
ENST00000623237	15	unconfirmed_transcript	TEC
ENST00000623238	15	unconfirmed_transcript	TEC
ENST00000623240	15	unconfirmed_transcript	TEC
ENST00000623243	2	unconfirmed_transcript	TEC
ENST00000623248	2	unconfirmed_transcript	TEC
ENST00000623249	3	unconfirmed_transcript	TEC
ENST00000623250	2	unconfirmed_transcript	TEC
ENST00000623251	1	unconfirmed_transcript	TEC
ENST00000623257	8	unconfirmed_transcript	TEC
ENST00000623261	11	unconfirmed_transcript	TEC
ENST00000623263	18	unconfirmed_transcript	TEC
ENST00000623264	12	unconfirmed_transcript	TEC
ENST00000623265	17	unconfirmed_transcript	TEC
ENST00000623268	12	unconfirmed_transcript	TEC
ENST00000623270	17	unconfirmed_transcript	TEC
ENST00000623271	16	unconfirmed_transcript	TEC
ENST00000623272	12	unconfirmed_transcript	TEC
ENST00000623273	5	unconfirmed_transcript	TEC
ENST00000623274	15	unconfirmed_transcript	TEC
ENST00000623277	18	unconfirmed_transcript	TEC
ENST00000623278	16	unconfirmed_transcript	TEC
ENST00000623279	12	unconfirmed_transcript	TEC
ENST00000623281	16	unconfirmed_transcript	TEC
ENST00000623283	8	unconfirmed_transcript	TEC
ENST00000623284	16	unconfirmed_transcript	TEC
ENST00000623289	17	unconfirmed_transcript	TEC
ENST00000623291	11	unconfirmed_transcript	TEC
ENST00000623292	9	unconfirmed_transcript	TEC
ENST00000623293	12	unconfirmed_transcript	TEC
ENST00000623294	17	unconfirmed_transcript	TEC
ENST00000623298	16	unconfirmed_transcript	TEC
ENST00000623299	11	unconfirmed_transcript	TEC
ENST00000623300	6	unconfirmed_transcript	TEC
ENST00000623303	11	unconfirmed_transcript	TEC
ENST00000623304	3	unconfirmed_transcript	TEC
ENST00000623305	16	unconfirmed_transcript	TEC
ENST00000623307	16	unconfirmed_transcript	TEC
ENST00000623308	4	unconfirmed_transcript	TEC
ENST00000623309	8	unconfirmed_transcript	TEC
ENST00000623311	13	unconfirmed_transcript	TEC
ENST00000623314	16	unconfirmed_transcript	TEC
ENST00000623319	17	unconfirmed_transcript	TEC
ENST00000623322	11	unconfirmed_transcript	TEC
ENST00000623323	4	unconfirmed_transcript	TEC
ENST00000623327	5	unconfirmed_transcript	TEC
ENST00000623328	22	unconfirmed_transcript	TEC
ENST00000623329	18	unconfirmed_transcript	TEC
ENST00000623330	11	unconfirmed_transcript	TEC
ENST00000623331	19	unconfirmed_transcript	TEC
ENST00000623335	17	unconfirmed_transcript	TEC
ENST00000623339	17	unconfirmed_transcript	TEC
ENST00000623340	19	unconfirmed_transcript	TEC
ENST00000623341	16	unconfirmed_transcript	TEC
ENST00000623345	6	unconfirmed_transcript	TEC
ENST00000623346	17	unconfirmed_transcript	TEC
ENST00000623350	1	unconfirmed_transcript	TEC
ENST00000623352	21	unconfirmed_transcript	TEC
ENST00000623353	5	unconfirmed_transcript	TEC
ENST00000623355	17	unconfirmed_transcript	TEC
ENST00000623356	16	unconfirmed_transcript	TEC
ENST00000623357	5	unconfirmed_transcript	TEC
ENST00000623362	15	unconfirmed_transcript	TEC
ENST00000623363	19	unconfirmed_transcript	TEC
ENST00000623365	16	unconfirmed_transcript	TEC
ENST00000623366	5	unconfirmed_transcript	TEC
ENST00000623369	19	unconfirmed_transcript	TEC
ENST00000623371	16	unconfirmed_transcript	TEC
ENST00000623378	13	unconfirmed_transcript	TEC
ENST00000623380	18	unconfirmed_transcript	TEC
ENST00000623381	17	unconfirmed_transcript	TEC
ENST00000623383	17	unconfirmed_transcript	TEC
ENST00000623384	15	unconfirmed_transcript	TEC
ENST00000623386	5	unconfirmed_transcript	TEC
ENST00000623393	15	unconfirmed_transcript	TEC
ENST00000623397	5	unconfirmed_transcript	TEC
ENST00000623398	16	unconfirmed_transcript	TEC
ENST00000623401	16	unconfirmed_transcript	TEC
ENST00000623406	16	unconfirmed_transcript	TEC
ENST00000623410	X	unconfirmed_transcript	TEC
ENST00000623411	5	unconfirmed_transcript	TEC
ENST00000623412	X	unconfirmed_transcript	TEC
ENST00000623414	16	unconfirmed_transcript	TEC
ENST00000623415	3	unconfirmed_transcript	TEC
ENST00000623419	5	unconfirmed_transcript	TEC
ENST00000623423	14	unconfirmed_transcript	TEC
ENST00000623427	12	unconfirmed_transcript	TEC
ENST00000623428	17	unconfirmed_transcript	TEC
ENST00000623429	11	unconfirmed_transcript	TEC
ENST00000623431	6	unconfirmed_transcript	TEC
ENST00000623432	5	unconfirmed_transcript	TEC
ENST00000623434	12	unconfirmed_transcript	TEC
ENST00000623435	1	unconfirmed_transcript	TEC
ENST00000623442	12	unconfirmed_transcript	TEC
ENST00000623443	3	unconfirmed_transcript	TEC
ENST00000623444	17	unconfirmed_transcript	TEC
ENST00000623445	X	unconfirmed_transcript	TEC
ENST00000623448	7	unconfirmed_transcript	TEC
ENST00000623452	16	unconfirmed_transcript	TEC
ENST00000623453	10	unconfirmed_transcript	TEC
ENST00000623454	18	unconfirmed_transcript	TEC
ENST00000623456	11	unconfirmed_transcript	TEC
ENST00000623458	22	unconfirmed_transcript	TEC
ENST00000623459	19	unconfirmed_transcript	TEC
ENST00000623460	17	unconfirmed_transcript	TEC
ENST00000623462	17	unconfirmed_transcript	TEC
ENST00000623464	11	unconfirmed_transcript	TEC
ENST00000623465	8	unconfirmed_transcript	TEC
ENST00000623468	20	unconfirmed_transcript	TEC
ENST00000623469	15	unconfirmed_transcript	TEC
ENST00000623470	15	unconfirmed_transcript	TEC
ENST00000623479	18	unconfirmed_transcript	TEC
ENST00000623480	17	unconfirmed_transcript	TEC
ENST00000623482	11	unconfirmed_transcript	TEC
ENST00000623486	16	unconfirmed_transcript	TEC
ENST00000623488	5	unconfirmed_transcript	TEC
ENST00000623493	17	unconfirmed_transcript	TEC
ENST00000623494	6	unconfirmed_transcript	TEC
ENST00000623495	12	unconfirmed_transcript	TEC
ENST00000623500	5	unconfirmed_transcript	TEC
ENST00000623504	10	unconfirmed_transcript	TEC
ENST00000623505	16	unconfirmed_transcript	TEC
ENST00000623509	19	unconfirmed_transcript	TEC
ENST00000623516	15	unconfirmed_transcript	TEC
ENST00000623520	10	unconfirmed_transcript	TEC
ENST00000623521	19	unconfirmed_transcript	TEC
ENST00000623522	17	unconfirmed_transcript	TEC
ENST00000623524	18	unconfirmed_transcript	TEC
ENST00000623525	5	unconfirmed_transcript	TEC
ENST00000623526	5	unconfirmed_transcript	TEC
ENST00000623532	19	unconfirmed_transcript	TEC
ENST00000623533	18	unconfirmed_transcript	TEC
ENST00000623539	11	unconfirmed_transcript	TEC
ENST00000623540	17	unconfirmed_transcript	TEC
ENST00000623542	10	unconfirmed_transcript	TEC
ENST00000623544	19	unconfirmed_transcript	TEC
ENST00000623545	12	unconfirmed_transcript	TEC
ENST00000623546	4	unconfirmed_transcript	TEC
ENST00000623547	14	unconfirmed_transcript	TEC
ENST00000623551	15	unconfirmed_transcript	TEC
ENST00000623552	11	unconfirmed_transcript	TEC
ENST00000623555	12	unconfirmed_transcript	TEC
ENST00000623556	15	unconfirmed_transcript	TEC
ENST00000623561	15	unconfirmed_transcript	TEC
ENST00000623562	16	unconfirmed_transcript	TEC
ENST00000623564	15	unconfirmed_transcript	TEC
ENST00000623567	4	unconfirmed_transcript	TEC
ENST00000623573	18	unconfirmed_transcript	TEC
ENST00000623576	19	unconfirmed_transcript	TEC
ENST00000623577	16	unconfirmed_transcript	TEC
ENST00000623580	8	unconfirmed_transcript	TEC
ENST00000623582	15	unconfirmed_transcript	TEC
ENST00000623583	10	unconfirmed_transcript	TEC
ENST00000623585	18	unconfirmed_transcript	TEC
ENST00000623588	19	unconfirmed_transcript	TEC
ENST00000623590	2	unconfirmed_transcript	TEC
ENST00000623591	5	unconfirmed_transcript	TEC
ENST00000623593	5	unconfirmed_transcript	TEC
ENST00000623594	16	unconfirmed_transcript	TEC
ENST00000623595	9	unconfirmed_transcript	TEC
ENST00000623598	17	unconfirmed_transcript	TEC
