transcript_id	contig	biotype	readthrough_tra	class
ENST00000196548	19	protein_coding	1	readthrough
ENST00000250366	19	nonsense_mediated_decay	1	readthrough
ENST00000262283	8	protein_coding	1	readthrough
ENST00000265068	3	protein_coding	1	readthrough
ENST00000282382	5	protein_coding	1	readthrough
ENST00000289779	1	nonsense_mediated_decay	1	readthrough
ENST00000293826	17	protein_coding	1	readthrough
ENST00000299353	10	nonsense_mediated_decay	1	readthrough
ENST00000301886	11	nonsense_mediated_decay	1	readthrough
ENST00000302798	9	protein_coding	1	readthrough
ENST00000303406	12	protein_coding	1	readthrough
ENST00000305208	2	protein_coding	1	readthrough
ENST00000306641	Y	lincRNA	1	readthrough
ENST00000306853	Y	processed_transcript	1	readthrough
ENST00000310771	7	processed_transcript	1	readthrough
ENST00000311841	1	nonsense_mediated_decay	1	readthrough
ENST00000315601	17	nonsense_mediated_decay	1	readthrough
ENST00000320139	1	protein_coding	1	readthrough
ENST00000320330	16	protein_coding	1	readthrough
ENST00000330168	22	nonsense_mediated_decay	1	readthrough
ENST00000332968	18	protein_coding	1	readthrough
ENST00000333314	5	protein_coding	1	readthrough
ENST00000335515	6	nonsense_mediated_decay	1	readthrough
ENST00000335950	14	nonsense_mediated_decay	1	readthrough
ENST00000336307	3	protein_coding	1	readthrough
ENST00000340301	16	processed_transcript	1	readthrough
ENST00000341698	20	protein_coding	1	readthrough
ENST00000342159	15	protein_coding	1	readthrough
ENST00000344893	19	lincRNA	1	readthrough
ENST00000352766	22	protein_coding	1	readthrough
ENST00000354191	19	nonsense_mediated_decay	1	readthrough
ENST00000354728	2	protein_coding	1	readthrough
ENST00000354852	11	protein_coding	1	readthrough
ENST00000354921	1	processed_transcript	1	readthrough
ENST00000356578	11	nonsense_mediated_decay	1	readthrough
ENST00000357072	9	processed_transcript	1	readthrough
ENST00000357082	8	protein_coding	1	readthrough
ENST00000358654	22	nonsense_mediated_decay	1	readthrough
ENST00000358757	8	nonsense_mediated_decay	1	readthrough
ENST00000359051	3	protein_coding	1	readthrough
ENST00000360221	17	protein_coding	1	readthrough
ENST00000361473	22	protein_coding	1	readthrough
ENST00000362077	21	processed_transcript	1	readthrough
ENST00000368276	1	protein_coding	1	readthrough
ENST00000369484	X	protein_coding	1	readthrough
ENST00000370453	1	nonsense_mediated_decay	1	readthrough
ENST00000370548	1	protein_coding	1	readthrough
ENST00000370649	10	protein_coding	1	readthrough
ENST00000370891	1	protein_coding	1	readthrough
ENST00000370893	1	protein_coding	1	readthrough
ENST00000370895	1	protein_coding	1	readthrough
ENST00000370899	1	protein_coding	1	readthrough
ENST00000373409	2	protein_coding	1	readthrough
ENST00000373414	2	protein_coding	1	readthrough
ENST00000373424	2	protein_coding	1	readthrough
ENST00000373426	2	protein_coding	1	readthrough
ENST00000374294	9	protein_coding	1	readthrough
ENST00000374530	9	protein_coding	1	readthrough
ENST00000375204	9	processed_transcript	1	readthrough
ENST00000375206	9	processed_transcript	1	readthrough
ENST00000375880	6	protein_coding	1	readthrough
ENST00000376185	6	nonsense_mediated_decay	1	readthrough
ENST00000376358	X	protein_coding	1	readthrough
ENST00000376392	17	protein_coding	1	readthrough
ENST00000379915	15	processed_transcript	1	readthrough
ENST00000380568	15	protein_coding	1	readthrough
ENST00000380569	15	protein_coding	1	readthrough
ENST00000380593	20	protein_coding	1	readthrough
ENST00000381151	21	protein_coding	1	readthrough
ENST00000381541	12	protein_coding	1	readthrough
ENST00000382079	5	nonsense_mediated_decay	1	readthrough
ENST00000382141	13	nonsense_mediated_decay	1	readthrough
ENST00000382448	15	protein_coding	1	readthrough
ENST00000389773	22	protein_coding	1	readthrough
ENST00000389919	11	nonsense_mediated_decay	1	readthrough
ENST00000390329	22	processed_transcript	1	readthrough
ENST00000391777	19	protein_coding	1	readthrough
ENST00000393193	17	protein_coding	1	readthrough
ENST00000393198	17	protein_coding	1	readthrough
ENST00000393796	19	protein_coding	1	readthrough
ENST00000394754	2	protein_coding	1	readthrough
ENST00000396904	7	protein_coding	1	readthrough
ENST00000397256	3	protein_coding	1	readthrough
ENST00000397270	11	protein_coding	1	readthrough
ENST00000397456	6	nonsense_mediated_decay	1	readthrough
ENST00000397990	14	protein_coding	1	readthrough
ENST00000398092	12	protein_coding	1	readthrough
ENST00000398333	15	protein_coding	1	readthrough
ENST00000398849	17	processed_transcript	1	readthrough
ENST00000399247	6	processed_transcript	1	readthrough
ENST00000399312	21	protein_coding	1	readthrough
ENST00000399449	10	processed_transcript	1	readthrough
ENST00000400864	19	processed_transcript	1	readthrough
ENST00000400900	1	protein_coding	1	readthrough
ENST00000402114	2	protein_coding	1	readthrough
ENST00000403734	11	nonsense_mediated_decay	1	readthrough
ENST00000404796	9	nonsense_mediated_decay	1	readthrough
ENST00000405008	2	protein_coding	1	readthrough
ENST00000406334	2	nonsense_mediated_decay	1	readthrough
ENST00000406625	2	protein_coding	1	readthrough
ENST00000407184	7	protein_coding	1	readthrough
ENST00000409035	19	nonsense_mediated_decay	1	readthrough
ENST00000409103	17	protein_coding	1	readthrough
ENST00000409170	X	protein_coding	1	readthrough
ENST00000409338	X	protein_coding	1	readthrough
ENST00000409399	17	protein_coding	1	readthrough
ENST00000409691	6	protein_coding	1	readthrough
ENST00000410042	2	protein_coding	1	readthrough
ENST00000412278	11	protein_coding	1	readthrough
ENST00000412988	17	nonsense_mediated_decay	1	readthrough
ENST00000413242	17	nonsense_mediated_decay	1	readthrough
ENST00000413420	9	protein_coding	1	readthrough
ENST00000413559	20	retained_intron	1	readthrough
ENST00000413834	7	protein_coding	1	readthrough
ENST00000414150	1	nonsense_mediated_decay	1	readthrough
