file,suite,assembly,n_variants,raw_f1,adj_f1,perl_tuples,vep_rs_tuples,intersection,adj_perl_tuples,adj_vep_rs_tuples,adj_intersection,fastvep_raw_f1,fastvep_adj_f1,fastvep_tuples,fastvep_intersection,adj_perl_tuples_fastvep,adj_fastvep_tuples,adj_fastvep_intersection
01_snv,synthetic_grch37,GRCh37,1000,1.000000,1.000000,7488,7488,7488,7488,7488,7488,0.840025,0.840025,5464,5440,7488,5464,5440
01_snv,synthetic_grch38,GRCh38,1000,1.000000,1.000000,15755,15755,15755,15755,15755,15755,1.000000,1.000000,15755,15755,15755,15755,15755
02_mnp_complex,synthetic_grch37,GRCh37,2000,1.000000,1.000000,19664,19664,19664,19664,19664,19664,0.755493,0.755493,16016,13478,19664,16016,13478
02_mnp_complex,synthetic_grch38,GRCh38,2000,0.999822,0.999822,56171,56171,56161,56171,56171,56161,0.843425,0.843425,56171,47376,56171,56171,47376
03_small_indels,synthetic_grch37,GRCh37,2000,1.000000,1.000000,19763,19763,19763,19763,19763,19763,0.436462,0.436462,15594,7716,19763,15594,7716
03_small_indels,synthetic_grch38,GRCh38,2000,1.000000,1.000000,54896,54896,54896,54896,54896,54896,0.492331,0.492331,54896,27027,54896,54896,27027
04_large_explicit,synthetic_grch37,GRCh37,400,1.000000,1.000000,3985,3985,3985,3985,3985,3985,0.293398,0.293398,3043,1031,3985,3043,1031
04_large_explicit,synthetic_grch38,GRCh38,400,1.000000,1.000000,10790,10790,10790,10790,10790,10790,0.356997,0.356997,10790,3852,10790,10790,3852
05_symbolic_del_ins,synthetic_grch37,GRCh37,2000,1.000000,1.000000,73007,73007,73007,73007,73007,73007,0.000000,0.000000,32046,0,73007,32046,0
05_symbolic_del_ins,synthetic_grch38,GRCh38,2000,0.999991,0.999991,117575,117575,117574,117575,117575,117574,0.000000,0.000000,96548,0,117575,96548,0
06_symbolic_dup_inv,synthetic_grch37,GRCh37,2250,1.000000,1.000000,67036,67036,67036,67036,67036,67036,0.000000,0.000000,38002,0,67036,38002,0
06_symbolic_dup_inv,synthetic_grch38,GRCh38,2250,1.000000,1.000000,106265,106265,106265,106265,106265,106265,0.000000,0.000000,106014,0,106265,106014,0
07_cnv_repeat,synthetic_grch37,GRCh37,900,0.936322,1.000000,21483,21483,20115,20115,20115,20115,0.000000,0.000000,12613,0,21396,12526,0
07_cnv_repeat,synthetic_grch38,GRCh38,900,0.923333,0.999969,34500,34500,31855,31856,31856,31855,0.000000,0.000000,34500,0,34335,34335,0
08_mobile_elements,synthetic_grch37,GRCh37,800,1.000000,1.000000,7607,7607,7607,7607,7607,7607,0.000000,0.000000,6240,0,7607,6240,0
08_mobile_elements,synthetic_grch38,GRCh38,800,1.000000,1.000000,22042,22042,22042,22042,22042,22042,0.001497,0.001497,22042,33,22042,22042,33
09_breakends,synthetic_grch37,GRCh37,1400,0.997981,0.998969,24266,24268,24218,24218,24268,24218,0.000000,0.000000,10279,0,24218,10279,0
09_breakends,synthetic_grch38,GRCh38,1400,0.998294,0.998992,71483,71511,71375,71383,71511,71375,0.000000,0.000000,37143,0,71383,37143,0
10_special_alleles,synthetic_grch37,GRCh37,1000,0.955571,0.955571,2865,3077,2839,2865,3077,2839,0.142330,0.142330,7969,771,2865,7969,771
10_special_alleles,synthetic_grch38,GRCh38,1000,1.000000,1.000000,7998,7998,7998,7998,7998,7998,0.143547,0.143547,27628,2557,7998,27628,2557
11_multi_allelic,synthetic_grch37,GRCh37,700,0.999533,0.999533,8565,8565,8561,8565,8565,8561,0.153738,0.153738,12822,1644,8565,12822,1644
11_multi_allelic,synthetic_grch38,GRCh38,700,1.000000,1.000000,21619,21619,21619,21619,21619,21619,0.170714,0.170714,43238,5536,21619,43238,5536
12_complex_imprecise,synthetic_grch37,GRCh37,300,1.000000,1.000000,6548,6548,6548,6548,6548,6548,0.000000,0.000000,4157,0,6548,4157,0
12_complex_imprecise,synthetic_grch38,GRCh38,300,0.999008,0.999008,13099,13099,13086,13099,13099,13086,0.000000,0.000000,13099,0,13099,13099,0
13_vcf45_features,synthetic_grch37,GRCh37,650,0.999014,0.999014,8615,8632,8615,8615,8632,8615,0.156590,0.156590,10671,1510,8615,10671,1510
13_vcf45_features,synthetic_grch38,GRCh38,650,0.999843,0.999843,22274,22281,22274,22274,22281,22274,0.153373,0.153373,39445,4733,22274,39445,4733
1kg_sv_chr21,real_world_grch37,GRCh37,877,1.000000,1.000000,3057,3057,3057,3057,3057,3057,0.078308,0.078308,2332,211,3057,2332,211
1kg_sv_chr21,real_world_grch38,GRCh38,2386,0.999762,0.999762,25183,25183,25177,25183,25183,25177,0.000000,0.000000,30154,0,25183,30154,0
clinvar_sv_chr21,real_world_grch37,GRCh37,2794,0.999952,0.999952,20913,20913,20912,20913,20913,20912,0.507189,0.507189,16016,9365,20913,16016,9365
clinvar_sv_chr21,real_world_grch38,GRCh38,2796,1.000000,1.000000,56361,56361,56361,56361,56361,56361,0.586112,0.586112,56928,33200,56361,56928,33200
gnomad_sv_chr21,real_world_grch37,GRCh37,4921,0.832168,0.990660,35002,44530,33092,33212,33596,33092,0.000000,0.000000,12798,0,33212,12798,0
gnomad_sv_chr21,real_world_grch38,GRCh38,32630,0.813283,0.995552,481026,644840,457824,458645,461094,457824,0.000005,0.000005,338058,2,458645,338058,2
